Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
02-09-2021,02-09-2021,33.97462845,102,67.9462738,0.181999996,52.2757988,135.9618988,128.2856903,143.3224792,55.29504395,207.44841,,,
02-09-2022,02-09-2022,33.68361664,59.18000031,73.92636108,0.178000003,94.82662201,90.96704865,112.2256546,105.3343735,54.59499359,156.6471558,,,
02-10-2013,02-10-2013,20.38565254,134.5727692,20.89732552,0.086999997,57.508564,24.9164772,42.59065628,74.9810791,22.9932785,30.0017395,,,
02-10-2014,02-10-2014,23.1742115,158.1672821,23.78356361,0.086999997,64.07308197,31.47257996,43.93777084,93.11753082,24.16298294,34.91525269,,,
02-10-2015,02-10-2015,20.59148788,57.14208984,28.71207047,0.085000001,53.81757736,30.60193634,51.21693802,87.50770569,23.30756187,40.99436569,,,
02-10-2017,02-10-2017,27.72050476,138.0567017,41.08826447,0.079599999,62.18929672,59.47370529,67.23947144,109.9280624,41.09400177,61.72079468,,,
02-10-2018,02-10-2018,26.94912148,118.033493,42.82333755,0.140000001,68.53881836,76.38143158,83.44255829,122.3551559,43.70627213,89.45201874,,,
02-10-2019,02-10-2019,23.76209831,109.3514938,58.42503357,0.150099993,55.6748848,71.79943848,106.213356,125.2680664,38.38446045,119.8926392,,,
02-10-2020,02-10-2020,26.49631119,73.19999695,66.70987701,0.128099993,29.17999268,82.32363892,91.42475128,131.7567444,28.08382797,161.2672424,,,
02-11-2015,02-11-2015,23.31594658,64.94156647,29.13467407,0.085000001,60.48448563,33.59955215,45.38302231,98.23606873,24.91145325,42.15691757,,,
02-11-2016,02-11-2016,22.75382614,88.89779663,34.00789261,0.082000002,61.26874924,43.52003479,53.7063446,94.49892426,26.6780777,48.24159622,,,
02-11-2017,02-11-2017,28.9310379,140.8540802,42.73665237,0.079599999,63.63679123,63.15740204,72.16278839,104.9033051,40.72026443,65.1674881,,,
02-11-2018,02-11-2018,23.19916916,106.4789734,42.79644012,0.193100005,64.96365356,64.82117462,80.58631897,108.4273987,42.59217834,90.36767578,,,
02-11-2020,02-11-2020,25.59519768,75.84999847,67.94033813,0.132100001,30.07361603,86.37985229,91.50157928,126.8095016,31.25443459,160.8174896,,,
02-11-2021,02-11-2021,34.05122757,91.55000305,62.95547485,0.165000007,61.51991653,127.1164322,121.591423,140.2579346,61.85497665,210.6544342,,,
